table_role,bridge_action,p11_3_candidate_source,source_artifacts,candidate_output_path,required_caveat_fields,fallback_or_exclusion_policy,downstream_status,generation_eligibility,candidate_output_policy
stand_table,replace,P9RF resultant-fragment source/THLB candidate contract,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md; planning/tfl6_mp11_p9rf_table12_resultant_vs_p9r_comparison.md,data/mp11_model_input_bundle/stand_table.csv,p9rf_step_status; p9rf_current_thlb_delta_ha; sensitive_source_exclusion; deferred_public_source,Use P9RF resultant-fragment source/THLB candidate only; preserve review-required and deferred step caveats.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
au_table,extend,Phase 5 AU scaffold plus accepted Phase 10R curve-handoff targets,planning/tfl6_mp11_p11_2_candidate_schema_bridge.md; planning/tfl6_mp11_phase10r_curve_rebuild_closeout.md,data/mp11_model_input_bundle/au_table.csv,phase10r_curve_handoff_status; table54_55_exclusion,Extend Phase 5 AU scaffold with accepted Phase 10R Table 57 curve-handoff targets; keep Tables 54/55 excluded.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
curve_table,replace,accepted 27 Phase 10R Table 57 managed curves plus retained natural curves,planning/tfl6_mp11_phase10r_curve_rebuild_closeout.md; planning/tfl6_mp11_managed_curve_comparison.md,data/mp11_model_input_bundle/curve_table.csv,phase10r_curve_status; not_model_input_until_generated,Use accepted 27 Phase 10R Table 57 managed curves and retained natural curves; exclude Tables 54/55.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
curve_points_table,replace,accepted Phase 10R managed curve points and retained natural curve points,planning/tfl6_mp11_managed_curves.json; planning/tfl6_mp11_natural_curve_diagnostics.json,data/mp11_model_input_bundle/curve_points_table.csv,curve_source_family; phase10r_review_status,Use accepted Phase 10R managed curve points and retained natural curve points when generation is later authorized.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
stand_au_assignment,extend,Phase 5 assignment scaffold plus MP11 candidate provenance fields,planning/tfl6_mp11_p11_2_candidate_schema_bridge.md; planning/tfl6_mp11_phase11_phase5_provenance_inventory.md,data/mp11_model_input_bundle/stand_au_assignment.csv,phase5_assignment_source; mp11_candidate_provenance,Extend Phase 5 assignment scaffold and add MP11 candidate provenance fields.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
stand_origin_assignment,reuse,Phase 5 origin scaffold until MP11 source review replaces it,planning/tfl6_mp11_phase11_phase5_provenance_inventory.md,data/mp11_model_input_bundle/stand_origin_assignment.csv,origin_source; replacement_review_status,Reuse Phase 5 origin scaffold until an MP11 source review replaces it.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
treatment_table,reuse,Phase 5 defaults with MP11 rule gaps marked deferred,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md; planning/tfl6_mp11_operability_harvest_mha_scenario_contract.md,data/mp11_model_input_bundle/treatment_table.csv,rule_status; mp11_rule_deferred_reason,"Reuse Phase 5 treatment defaults; MP11 MHA, harvest-system, and scenario rules remain deferred metadata.",candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
transition_table,reuse,Phase 5 defaults with MP11 transition gaps marked deferred,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md; planning/tfl6_mp11_operability_harvest_mha_scenario_contract.md,data/mp11_model_input_bundle/transition_table.csv,transition_source; mp11_transition_deferred_reason,Reuse Phase 5 transition defaults until MP11 transitions are separately accepted.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
harvest_system_table,defer,no accepted MP11 stand-level harvest-system classifier yet,planning/tfl6_mp11_operability_harvest_mha_scenario_contract.md,,harvest_system_status; unavailable_or_proxy_basis,Do not generate stand-level harvest-system assignments; aggregate MP11 percentages remain comparison targets only.,deferred_not_model_input,deferred_not_eligible,not_eligible_for_generation
group_table,extend,Phase 5 reporting scaffold plus P9RF/MP11 candidate caveat groups,planning/tfl6_mp11_p11_2_candidate_scaffold_decisions.md; planning/tfl6_mp11_kpi_qa_reporting_contract.md,data/mp11_model_input_bundle/group_table.csv,group_source; p9rf_caveat_group; kpi_role,Extend Phase 5 reporting groups with candidate caveat groups; runtime-only KPI reports defer to later phases.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
cedar_signal_table,extend,Phase 5 cedar-reporting scaffold plus MP11 comparison/provenance fields,planning/tfl6_mp11_kpi_qa_reporting_contract.md; planning/tfl6_mp11_baseline_and_promotion_contract.md,data/mp11_model_input_bundle/cedar_signal_table.csv,cedar_signal_source; figure_evidence_status,Extend Phase 5 cedar-reporting scaffold with comparison/provenance fields only; planning-only figures stay out of model inputs.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
embedded_identity_table,reuse,preserve Phase 5 embedded identity scaffold,planning/tfl6_mp11_phase11_phase5_provenance_inventory.md,data/mp11_model_input_bundle/embedded_identity_table.csv,identity_source; preservation_status,Reuse Phase 5 embedded identity scaffold.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
export_compat_bridge,replace,new MP11 candidate bridge if P11.3 later emits generated tables,planning/tfl6_mp11_p11_2_candidate_schema_bridge.md; planning/tfl6_mp11_phase11_artifact_layout.md,data/mp11_model_input_bundle/export_compat/bridge_manifest.json,bridge_action; phase5_baseline_protection,Replace Phase 5 export bridge only if P11.3 later authorizes generated candidate tables.,candidate_manifest_only,eligible_for_later_generated_scaffold,manifest_only_until_p11_3_generation_decision
