scenario_id,threshold_pct,min_steep_proportion,accounting,fragment_count,valid_fragment_count,deduction_ha,delta_to_mp11_ha,abs_delta_to_mp11_ha,delta_to_mp11_pct,remaining_after_step220_ha,step290_direct_proxy_area_ha,step290_direct_proxy_delta_to_mp11_ha
slope_ge_70_prop_ge_0.75_whole_fragment,70,0.75,whole_fragment,931,39239,1801.7045786667948,-18.29542133320524,18.29542133320524,-1.0052429303958923,127408.39804428256,122767.06044214054,2668.060442140544
slope_ge_60_prop_ge_0.9_whole_fragment,60,0.9,whole_fragment,1340,39239,1909.4843993193974,89.48439931939743,89.48439931939743,4.916725237329529,127300.61822362995,122659.28062148794,2560.2806214879383
slope_ge_80_prop_ge_0.5_whole_fragment,80,0.5,whole_fragment,811,39239,1915.00015064266,95.00015064265995,95.00015064265995,5.219788496849448,127295.10247230668,122653.76487016467,2554.7648701646685
slope_ge_90_prop_ge_0.25_partial_area_diagnostic,90,0.25,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.5_partial_area_diagnostic,90,0.5,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.75_partial_area_diagnostic,90,0.75,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.9_partial_area_diagnostic,90,0.9,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_1_partial_area_diagnostic,90,1.0,partial_area_diagnostic,3978,39239,2445.4624654684585,625.4624654684585,625.4624654684585,34.36606953123398,126764.64015748088,122123.30255533887,2024.3025553388725
slope_ge_90_prop_ge_0.25_whole_fragment,90,0.25,whole_fragment,801,39239,2608.8868807454423,788.8868807454423,788.8868807454423,43.34543300799133,126601.2157422039,121959.87814006189,1860.87814006189
slope_ge_90_prop_ge_0.5_whole_fragment,90,0.5,whole_fragment,342,39239,631.3790622882054,-1188.6209377117946,1188.6209377117946,-65.30884273141729,128578.72356066114,123937.38595851912,3838.385958519124
slope_ge_70_prop_ge_0.9_whole_fragment,70,0.9,whole_fragment,604,39239,486.1854855721091,-1333.814514427891,1333.814514427891,-73.28651178175225,128723.91713737724,124082.57953523523,3983.579535235229
slope_ge_80_prop_ge_0.75_whole_fragment,80,0.75,whole_fragment,375,39239,410.3203012034263,-1409.6796987965736,1409.6796987965736,-77.45492850530624,128799.78232174592,124158.44471960391,4059.444719603911
slope_ge_60_prop_ge_1_whole_fragment,60,1.0,whole_fragment,960,39239,335.25107374062384,-1484.7489262593763,1484.7489262593763,-81.57961133293277,128874.85154920872,124233.5139470667,4134.513947066705
slope_ge_90_prop_ge_0.75_whole_fragment,90,0.75,whole_fragment,164,39239,114.07724532743913,-1705.9227546725608,1705.9227546725608,-93.73201948750334,129096.0253776219,124454.68777547989,4355.687775479892
slope_ge_70_prop_ge_1_whole_fragment,70,1.0,whole_fragment,477,39239,84.82060842376276,-1735.1793915762373,1735.1793915762373,-95.33952700968337,129125.28201452558,124483.94441238357,4384.944412383571
slope_ge_80_prop_ge_0.9_whole_fragment,80,0.9,whole_fragment,258,39239,82.79588571022533,-1737.2041142897747,1737.2041142897747,-95.45077551042718,129127.30673723912,124485.96913509711,4386.969135097112
slope_ge_80_prop_ge_1_whole_fragment,80,1.0,whole_fragment,225,39239,17.52936268238076,-1802.4706373176193,1802.4706373176193,-99.0368482042648,129192.57326026696,124551.23565812495,4452.235658124948
slope_ge_90_prop_ge_0.9_whole_fragment,90,0.9,whole_fragment,117,39239,12.614332582023,-1807.385667417977,1807.385667417977,-99.30690480318555,129197.48829036733,124556.15068822532,4457.150688225316
slope_ge_90_prop_ge_1_whole_fragment,90,1.0,whole_fragment,109,39239,3.5164699803890063,-1816.483530019611,1816.483530019611,-99.80678736371489,129206.58615296896,124565.24855082695,4466.248550826946
slope_ge_80_prop_ge_0.25_partial_area_diagnostic,80,0.25,partial_area_diagnostic,6089,39239,4939.716684241197,3119.716684241197,3119.716684241197,171.4130046286372,124270.38593870815,119629.04833656613,-469.9516634338652
slope_ge_80_prop_ge_0.5_partial_area_diagnostic,80,0.5,partial_area_diagnostic,6089,39239,4939.716684241197,3119.716684241197,3119.716684241197,171.4130046286372,124270.38593870815,119629.04833656613,-469.9516634338652
slope_ge_80_prop_ge_0.75_partial_area_diagnostic,80,0.75,partial_area_diagnostic,6089,39239,4939.716684241197,3119.716684241197,3119.716684241197,171.4130046286372,124270.38593870815,119629.04833656613,-469.9516634338652
slope_ge_80_prop_ge_0.9_partial_area_diagnostic,80,0.9,partial_area_diagnostic,6089,39239,4939.716684241197,3119.716684241197,3119.716684241197,171.4130046286372,124270.38593870815,119629.04833656613,-469.9516634338652
slope_ge_80_prop_ge_1_partial_area_diagnostic,80,1.0,partial_area_diagnostic,6089,39239,4939.716684241197,3119.716684241197,3119.716684241197,171.4130046286372,124270.38593870815,119629.04833656613,-469.9516634338652
slope_ge_60_prop_ge_0.75_whole_fragment,60,0.75,whole_fragment,2093,39239,5126.354993879264,3306.354993879264,3306.354993879264,181.66785680655298,124083.74762907007,119442.41002692806,-656.5899730719393
slope_ge_70_prop_ge_0.5_whole_fragment,70,0.5,whole_fragment,1858,39239,5648.937237713144,3828.937237713144,3828.937237713144,210.3811669073156,123561.1653852362,118919.8277830942,-1179.1722169058048
slope_ge_80_prop_ge_0.25_whole_fragment,80,0.25,whole_fragment,1773,39239,6524.313595905151,4704.313595905151,4704.313595905151,258.4787690057775,122685.7890270442,118044.45142490219,-2054.5485750978114
slope_ge_70_prop_ge_0.25_partial_area_diagnostic,70,0.25,partial_area_diagnostic,8832,39239,9655.425739530425,7835.425739530425,7835.425739530425,430.517897776397,119554.67688341891,114913.3392812769,-5185.660718723098
slope_ge_70_prop_ge_0.5_partial_area_diagnostic,70,0.5,partial_area_diagnostic,8832,39239,9655.425739530425,7835.425739530425,7835.425739530425,430.517897776397,119554.67688341891,114913.3392812769,-5185.660718723098
slope_ge_70_prop_ge_0.75_partial_area_diagnostic,70,0.75,partial_area_diagnostic,8832,39239,9655.425739530425,7835.425739530425,7835.425739530425,430.517897776397,119554.67688341891,114913.3392812769,-5185.660718723098
slope_ge_70_prop_ge_0.9_partial_area_diagnostic,70,0.9,partial_area_diagnostic,8832,39239,9655.425739530425,7835.425739530425,7835.425739530425,430.517897776397,119554.67688341891,114913.3392812769,-5185.660718723098
slope_ge_70_prop_ge_1_partial_area_diagnostic,70,1.0,partial_area_diagnostic,8832,39239,9655.425739530425,7835.425739530425,7835.425739530425,430.517897776397,119554.67688341891,114913.3392812769,-5185.660718723098
slope_ge_60_prop_ge_0.5_whole_fragment,60,0.5,whole_fragment,3816,39239,12756.773625025926,10936.773625025926,10936.773625025926,600.9216277486772,116453.32899792341,111811.9913957814,-8287.008604218601
slope_ge_70_prop_ge_0.25_whole_fragment,70,0.25,whole_fragment,3469,39239,13789.047688069164,11969.047688069164,11969.047688069164,657.6399828609431,115421.05493488017,110779.71733273816,-9319.28266726184
slope_ge_60_prop_ge_0.25_partial_area_diagnostic,60,0.25,partial_area_diagnostic,12426,39239,17430.672932891594,15610.672932891594,15610.672932891594,857.7292820270106,111779.42969005775,107138.09208791573,-12960.907912084265
slope_ge_60_prop_ge_0.5_partial_area_diagnostic,60,0.5,partial_area_diagnostic,12426,39239,17430.672932891594,15610.672932891594,15610.672932891594,857.7292820270106,111779.42969005775,107138.09208791573,-12960.907912084265
slope_ge_60_prop_ge_0.75_partial_area_diagnostic,60,0.75,partial_area_diagnostic,12426,39239,17430.672932891594,15610.672932891594,15610.672932891594,857.7292820270106,111779.42969005775,107138.09208791573,-12960.907912084265
slope_ge_60_prop_ge_0.9_partial_area_diagnostic,60,0.9,partial_area_diagnostic,12426,39239,17430.672932891594,15610.672932891594,15610.672932891594,857.7292820270106,111779.42969005775,107138.09208791573,-12960.907912084265
slope_ge_60_prop_ge_1_partial_area_diagnostic,60,1.0,partial_area_diagnostic,12426,39239,17430.672932891594,15610.672932891594,15610.672932891594,857.7292820270106,111779.42969005775,107138.09208791573,-12960.907912084265
slope_ge_60_prop_ge_0.25_whole_fragment,60,0.25,whole_fragment,6208,39239,25868.186364742163,24048.186364742163,24048.186364742163,1321.3289211396793,103341.91625820717,98700.57865606516,-21398.42134393484
