surface_id,surface_family,path,phase5_role,phase5_status,record_or_file_count,phase11_replacement_role,notes
model_input_bundle_manifest,model_input_bundle,data/model_input_bundle/bundle_manifest.json,generated_rebuild_provenance,accepted_p4_1d,12 bundle tables,replace_with_mp11_candidate_bundle,"P4.1c.2 source bundle; not included in release archive."
stand_table,model_input_bundle,data/model_input_bundle/stand_table.csv,generated_rebuild_provenance,accepted_p4_1d,25019 rows,replace_with_mp11_candidate_bundle,"AFLB stand universe table."
au_table,model_input_bundle,data/model_input_bundle/au_table.csv,generated_rebuild_provenance,accepted_p4_1d,407 rows,replace_with_mp11_candidate_bundle,"Phase 5 AU table before MP11 top-N curve handoff promotion."
curve_table,model_input_bundle,data/model_input_bundle/curve_table.csv,generated_rebuild_provenance,accepted_p4_1d,507 rows,replace_with_mp11_candidate_bundle,"Phase 5 natural and treated curve metadata."
curve_points_table,model_input_bundle,data/model_input_bundle/curve_points_table.csv,generated_rebuild_provenance,accepted_p4_1d,90840 rows,replace_with_mp11_candidate_bundle,"Phase 5 curve point table."
stand_au_assignment,model_input_bundle,data/model_input_bundle/stand_au_assignment.csv,generated_rebuild_provenance,accepted_p4_1d,25019 rows,replace_with_mp11_candidate_bundle,"Preserves raw/static AU provenance and selected curve-family remap targets."
stand_origin_assignment,model_input_bundle,data/model_input_bundle/stand_origin_assignment.csv,generated_rebuild_provenance,accepted_p4_1d,25019 rows,replace_with_mp11_candidate_bundle,"Natural/treated origin assignment table."
treatment_table,model_input_bundle,data/model_input_bundle/treatment_table.csv,generated_rebuild_provenance,accepted_p4_1d,4 rows,replace_or_supplement_with_mp11_rules,"Generic first-release treatment table."
transition_table,model_input_bundle,data/model_input_bundle/transition_table.csv,generated_rebuild_provenance,accepted_p4_1d,5 rows,replace_or_supplement_with_mp11_rules,"First-release transition table."
harvest_system_table,model_input_bundle,data/model_input_bundle/harvest_system_table.csv,generated_rebuild_provenance,warning_deferred,25019 rows,replace_with_mp11_candidate_bundle,"All rows remained unassigned_review_required in Phase 5."
group_table,model_input_bundle,data/model_input_bundle/group_table.csv,generated_rebuild_provenance,accepted_p4_1d,125095 rows,replace_or_supplement_with_mp11_reporting,"Five memberships per stand."
cedar_signal_table,model_input_bundle,data/model_input_bundle/cedar_signal_table.csv,generated_rebuild_provenance,accepted_p4_1d,25019 rows,replace_or_supplement_with_mp11_reporting,"Cedar signal table for reporting hooks."
embedded_identity_table,model_input_bundle,data/model_input_bundle/embedded_identity_table.csv,generated_rebuild_provenance,accepted_p4_1d,25019 rows,preserve_or_supplement,"K3Z/NICF embedded identity table."
bundle_qa_summary,qa,data/model_input_bundle/qa/bundle_qa_summary.json,generated_rebuild_provenance,accepted_with_warnings,0 fatal missing curves,compare_against_mp11_candidate_bundle,"Phase 5 warnings: 136 sparse treated-curve fallback rows and 25019 unassigned harvest-system rows."
export_bridge_manifest,export_compat,data/model_input_bundle/export_compat/bridge_manifest.json,generated_rebuild_provenance,accepted_p4_2,407 numeric AU rows; 170 curve rows; 30579 curve point rows,replace_with_mp11_export_bridge,"String-to-numeric compatibility bridge for generic exporter."
forestmodel_xml,forestmodel_xml,output/patchworks_tfl6_validated/forestmodel.xml,release_payload,accepted_p4_2,2662799 bytes,replace_with_mp11_candidate_xml,"SHA256 f95a7e29b95a9fcfabdd77036e3ac19611041e704a0aeef6257def190b2ff6a4."
fragments,forestmodel_fragments,output/patchworks_tfl6_validated/fragments/fragments.*,release_payload,accepted_p4_2,24879 fragment rows,replace_with_mp11_candidate_fragments,"Fragment SHP SHA256 ad9552a5bd34ca0b95c0b9406695a5b3520609fd1c17d7cd303f2207f44dee5f; area 191168.566 ha."
matrix_builder_manifest,matrix_builder,runtime/logs/patchworks_matrixbuilder_manifest-tfl6_p43_matrix_accounts_wait20.json,runtime_evidence,accepted_p4_3,returncode 0,compare_or_regenerate_after_mp11_xml,"Run id tfl6_p43_matrix_accounts_wait20; accounts sync status synced."
matrix_accounts,matrix_tracks,models/tfl6_patchworks_model/tracks/accounts.csv,release_payload,accepted_p4_3,211 rows,replace_after_mp11_matrix_builder,"Accepted generic CC account surface."
matrix_protoaccounts,matrix_tracks,models/tfl6_patchworks_model/tracks/protoaccounts.csv,release_payload,accepted_p4_3,211 rows,replace_after_mp11_matrix_builder,"Synced to accounts.csv in accepted Matrix Builder manifest."
matrix_features,matrix_tracks,models/tfl6_patchworks_model/tracks/features.csv,release_payload,accepted_p4_3,86574 rows,replace_after_mp11_matrix_builder,"Feature track output."
matrix_products,matrix_tracks,models/tfl6_patchworks_model/tracks/products.csv,release_payload,accepted_p4_3,26085 rows,replace_after_mp11_matrix_builder,"Product track output."
matrix_curves,matrix_tracks,models/tfl6_patchworks_model/tracks/curves.csv,release_payload,accepted_p4_3,991672 rows,replace_after_mp11_matrix_builder,"Curve track output."
matrix_blocks,matrix_tracks,models/tfl6_patchworks_model/tracks/blocks.csv,release_payload,accepted_p4_3,47218 rows,replace_after_mp11_matrix_builder,"Block track output."
runtime_blocks,runtime_blocks,models/tfl6_patchworks_model/blocks/blocks.*,release_payload,accepted_p4_4a,24879 block rows,replace_after_mp11_fragments,"Block SHP SHA256 matches fragments SHP; topology radius 200."
runtime_topology,runtime_blocks,models/tfl6_patchworks_model/blocks/topology_blocks_200r.csv,release_payload,accepted_p4_4a,170759 rows,replace_after_mp11_blocks,"Topology columns BLOCK1/BLOCK2/DISTANCE/LENGTH."
base_pin,runtime_launch,models/tfl6_patchworks_model/analysis/base.pin,release_payload,accepted_p4_4b,136 bytes,preserve_or_update_for_mp11_runtime,"Baseline launch surface."
lineage_registry,runtime_lineage,models/tfl6_patchworks_model/lineage_registry.yaml,release_payload,accepted_p4_4,7526 bytes,replace_or_extend_for_mp11_runtime,"Primary Phase 5 provenance registry."
direct_launch_smoke,runtime_smoke,runtime/logs/patchworks_headless_manifest-tfl6_p44b_launch0.json,runtime_evidence,accepted_p4_4c,returncode 0,repeat_after_mp11_runtime,"Direct launch smoke wrote 903 saved-stage files."
scenario_smoke,runtime_smoke,runtime/logs/patchworks_headless_manifest-tfl6_p44d_harvest_smoke200.json,runtime_evidence,accepted_p4_4d,returncode 0,repeat_after_mp11_runtime,"Representative smoke scheduled 801 managed CC rows and produced nonzero managed CC harvested volume."
runtime_archive,release_archive,releases/tfl6_patchworks_runtime_p5_2.zip,public_release_payload,accepted_p5_4,28000736 bytes,preserve_as_phase5_baseline,"SHA256 17f56d11faeba89170fc48e202d1bfe83c2dd40b53e7409d8cdb8c1c487c2f9f."
runtime_archive_manifest,release_archive,releases/tfl6_patchworks_runtime_p5_2_manifest.yaml,public_release_manifest,accepted_p5_4,31 ZIP members,preserve_as_phase5_baseline,"Published via arbutus-s3; data/model_input_bundle excluded from archive."
