figure_id,caption,pdf_page,review_status,downstream_use,review_basis,reviewer,reviewed_at_utc,series_count,point_count,min_series_point_count,max_endpoint_abs_percent_error,endpoint_error_threshold_percent,endpoint_crosscheck_status,overlay_review_status,validation_strength,model_input_status,rows_csv_path,overlay_path,notes
Figure 21,Harvest Levels Maintaining Current AAC,103,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,359,161,0.29011979086090167,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-21-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-21-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 22,Harvest Levels Maximizing Short-Term Harvest,104,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,394,196,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-22-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-22-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 23,Harvest Levels with Increased Natural Stand Yields,107,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-23-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-23-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 24,Harvest Levels with Decreased Natural Stand Yields,109,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-24-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-24-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 25,Harvest Levels with Increased Managed Stand Yields,110,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-25-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-25-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 26,Harvest Levels with Decreased Managed Stand Yields,112,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-26-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-26-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted Volume with Reduced OAF1 Scenario,123,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,3,592,196,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-32-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-32-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 33,Harvest Levels with No Genetic Gain,124,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,380,190,0.24418455211412526,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-33-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-33-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 34,Harvest Levels with Full NSOG Order Targets,126,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-34-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-34-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 37,Harvest Levels with Helicopter Operable Land Base Excluded,132,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-37-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-37-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
Figure 38,Harvest Levels with 10% THLB Increases,133,accepted_for_comparison,phase6_mp11_comparison_only,deterministic colour-based harvest-line extraction; overlay inspection; endpoint cross-check against visible MP11 table or narrative values,codex_agent_overlay_and_endpoint_crosscheck_review,2026-06-28T00:00:00Z,2,396,198,0.14456083615718512,0.5,passed,contact_sheet_passed,endpoint_table_or_narrative_crosscheck,not_model_input,runtime/document_ingestion/tfl6-mp11-full-figures/recovered/remaining_harvest_batch/figure-38-remaining-harvest-points.csv,runtime/document_ingestion/tfl6-mp11-full-figures/overlays/remaining_harvest_batch/figure-38-overlay.png,"Accepted only for MP11 comparison planning. Endpoint values are cross-checked against visible table or narrative values, but these rows are not model input without later maintainer promotion."
