stratum_code,bec_group,species_combo,stand_count,area_ha,mean_si,median_si,min_si,max_si,area_rank,area_share,cumulative_area_ha,cumulative_area_share,cumulative_before_share,selected_top_90
CWHVM_HW_BA,CWHvm,HW_BA,3783,34839.094309,22.813375,24.0,7.0,43.0,1,0.25675,34839.094309,0.25675,0.0,True
CWHVM_HW_CW,CWHvm,HW_CW,3450,27333.496365,22.633915,24.0,3.0,42.0,2,0.201437,62172.590674,0.458187,0.25675,True
CWHVM_CW_HW,CWHvm,CW_HW,2372,17477.916776,17.950674,18.0,2.0,41.0,3,0.128805,79650.50745,0.586992,0.458187,True
CWHVM_HW,CWHvm,HW,1185,8014.210517,23.109703,25.0,1.0,42.0,4,0.059062,87664.717967,0.646054,0.586992,True
CWHVM_HW_SS,CWHvm,HW_SS,777,7339.92009,27.256113,28.0,7.0,42.0,5,0.054092,95004.638057,0.700146,0.646054,True
CWHVM_HW_DR,CWHvm,HW_DR,452,3264.034999,25.911505,27.0,5.0,37.0,6,0.024055,98268.673056,0.724201,0.700146,True
CWHVH_CW_HW,CWHvh,CW_HW,435,3106.096828,15.905747,16.0,6.0,31.0,7,0.022891,101374.769885,0.747091,0.724201,True
CWHVM_CW,CWHvm,CW,475,2757.5909,13.88,13.0,2.0,42.0,8,0.020322,104132.360784,0.767414,0.747091,True
CWHVM_CW_YC,CWHvm,CW_YC,236,2555.39344,13.381356,12.0,3.0,30.0,9,0.018832,106687.754225,0.786246,0.767414,True
CWHVM_HW_FDC,CWHvm,HW_FDC,167,2232.675347,28.293413,28.0,19.0,39.0,10,0.016454,108920.429572,0.8027,0.786246,True
CWHVM_BA_HW,CWHvm,BA_HW,268,2135.130642,23.063433,25.0,8.0,36.0,11,0.015735,111055.560214,0.818435,0.8027,True
CWHVM_HW_FD,CWHvm,HW_FD,194,2055.456189,26.097939,27.0,8.0,45.0,12,0.015148,113111.016402,0.833583,0.818435,True
CWHVH_HW_CW,CWHvh,HW_CW,291,1947.710459,19.31615,17.0,5.0,40.0,13,0.014354,115058.726862,0.847936,0.833583,True
CWHVM_YC_HW,CWHvm,YC_HW,193,1741.40489,12.875648,12.0,5.0,28.0,14,0.012833,116800.131752,0.86077,0.847936,True
CWHVM_SS_HW,CWHvm,SS_HW,159,1649.47343,31.64151,32.0,14.0,51.0,15,0.012156,118449.605181,0.872926,0.86077,True
CWHVM_DR_HW,CWHvm,DR_HW,334,1476.103613,24.443113,23.0,9.0,47.0,16,0.010878,119925.708794,0.883804,0.872926,True
CWHVM_HW_YC,CWHvm,HW_YC,212,1406.552695,18.226416,16.0,1.0,30.0,17,0.010366,121332.261489,0.89417,0.883804,True
CWHVM_YC_CW,CWHvm,YC_CW,148,1153.912241,11.445946,10.0,5.0,24.0,18,0.008504,122486.173731,0.902674,0.89417,True
CWHVH_HW_BA,CWHvh,HW_BA,172,980.952983,19.10465,18.0,7.0,33.0,19,0.007229,123467.126713,0.909903,0.902674,False
CWHVH_HW_SS,CWHvh,HW_SS,123,887.819084,21.975609,21.0,9.0,33.0,20,0.006543,124354.945798,0.916446,0.909903,False
CWHVM_YC_HM,CWHvm,YC_HM,118,846.37534,12.177966,12.0,5.0,23.0,21,0.006237,125201.321137,0.922683,0.916446,False
CWHVM_DR,CWHvm,DR,245,810.222774,23.30204,23.0,11.0,37.0,22,0.005971,126011.543912,0.928654,0.922683,False
CWHVM_HM_YC,CWHvm,HM_YC,108,645.888944,6.601852,6.0,3.0,19.0,23,0.00476,126657.432855,0.933414,0.928654,False
CWHVM_FD_HW,CWHvm,FD_HW,74,613.218936,27.85135,28.0,9.0,45.0,24,0.004519,127270.651791,0.937933,0.933414,False
MHMM_HW_BA,MHmm,HW_BA,74,612.073511,16.22973,13.5,10.0,28.0,25,0.004511,127882.725302,0.942444,0.937933,False
CWHVM_CW_PL,CWHvm,CW_PL,101,498.906761,10.168317,10.0,2.0,23.0,26,0.003677,128381.632063,0.946121,0.942444,False
CWHVM_YC_PL,CWHvm,YC_PL,30,435.008493,7.0,7.0,4.0,10.0,27,0.003206,128816.640557,0.949327,0.946121,False
CWHVM_FDC_HW,CWHvm,FDC_HW,37,352.612924,30.405407,30.0,22.0,38.0,28,0.002599,129169.253481,0.951925,0.949327,False
MHMM_YC_HW,MHmm,YC_HW,24,296.103955,9.916667,10.0,4.0,14.0,29,0.002182,129465.357436,0.954108,0.951925,False
CWHVM_CW_SS,CWHvm,CW_SS,39,287.88388,20.461538,23.0,6.0,27.0,30,0.002122,129753.241316,0.956229,0.954108,False
CWHVH_CW,CWHvh,CW,46,275.349317,13.152174,12.0,6.0,27.0,31,0.002029,130028.590633,0.958258,0.956229,False
CWHVH_CW_YC,CWHvh,CW_YC,48,256.058584,12.291667,11.0,7.0,23.0,32,0.001887,130284.649217,0.960145,0.958258,False
CWHVH_SS_HW,CWHvh,SS_HW,43,252.221265,25.186047,25.0,16.0,35.0,33,0.001859,130536.870481,0.962004,0.960145,False
MHMM_BA_HW,MHmm,BA_HW,34,246.574122,17.088236,14.0,8.0,28.0,34,0.001817,130783.444603,0.963821,0.962004,False
CWHVH_HW,CWHvh,HW,51,227.519283,18.078432,17.0,11.0,31.0,35,0.001677,131010.963886,0.965498,0.963821,False
CWHVM_YC_BA,CWHvm,YC_BA,37,206.757574,17.675676,20.0,8.0,29.0,36,0.001524,131217.72146,0.967022,0.965498,False
CWHVM_SS_CW,CWHvm,SS_CW,27,194.904484,26.62963,28.0,12.0,33.0,37,0.001436,131412.625944,0.968458,0.967022,False
MHMM_BA_YC,MHmm,BA_YC,22,190.210338,15.272727,12.0,8.0,27.0,38,0.001402,131602.836281,0.96986,0.968458,False
CWHVH_HW_DR,CWHvh,HW_DR,27,187.654955,18.074074,18.0,7.0,33.0,39,0.001383,131790.491236,0.971243,0.96986,False
CWHVH_YC_CW,CWHvh,YC_CW,29,177.96132,9.448276,9.0,6.0,25.0,40,0.001312,131968.452557,0.972554,0.971243,False
MHMM_HW_YC,MHmm,HW_YC,24,173.204545,16.875,13.0,5.0,28.0,41,0.001276,132141.657101,0.973831,0.972554,False
CWHVM_FD,CWHvm,FD,16,163.65099,23.9375,21.0,17.0,42.0,42,0.001206,132305.308091,0.975037,0.973831,False
CWHVM_CW_FDC,CWHvm,CW_FDC,18,158.800758,25.11111,23.0,19.0,36.0,43,0.00117,132464.108849,0.976207,0.975037,False
CWHVM_CW_DR,CWHvm,CW_DR,23,152.507294,21.26087,23.0,8.0,33.0,44,0.001124,132616.616143,0.977331,0.976207,False
MHMM_HM_YC,MHmm,HM_YC,24,147.928088,5.916666,5.0,4.0,15.0,45,0.00109,132764.544231,0.978421,0.977331,False
MHMM_YC_HM,MHmm,YC_HM,17,144.102814,11.117647,12.0,5.0,24.0,46,0.001062,132908.647045,0.979483,0.978421,False
CWHVM_BA_YC,CWHvm,BA_YC,25,139.045623,18.52,21.0,5.0,31.0,47,0.001025,133047.692668,0.980508,0.979483,False
CWHVM_BA_HM,CWHvm,BA_HM,9,132.330807,17.666666,16.0,12.0,28.0,48,0.000975,133180.023475,0.981483,0.980508,False
CWHVM_CW_PLC,CWHvm,CW_PLC,14,119.511623,19.5,19.0,18.0,23.0,49,0.000881,133299.535097,0.982364,0.981483,False
CWHVH_YC_HW,CWHvh,YC_HW,8,113.933235,11.25,10.0,8.0,18.0,50,0.00084,133413.468332,0.983204,0.982364,False
CWHVM_BA_CW,CWHvm,BA_CW,14,112.945359,24.285715,25.0,19.0,29.0,51,0.000832,133526.413691,0.984036,0.983204,False
CWHVM_FDC_CW,CWHvm,FDC_CW,14,109.31866,33.92857,36.0,21.0,38.0,52,0.000806,133635.732352,0.984842,0.984036,False
MHMM_YC_BA,MHmm,YC_BA,14,99.003876,14.785714,12.0,12.0,22.0,53,0.00073,133734.736228,0.985571,0.984842,False
MHMM_BA_HM,MHmm,BA_HM,10,93.332462,14.0,12.0,12.0,28.0,54,0.000688,133828.06869,0.986259,0.985571,False
CWHVM_DR_CW,CWHvm,DR_CW,18,86.636223,24.666666,26.0,14.0,34.0,55,0.000638,133914.704912,0.986897,0.986259,False
CWHVM_YC,CWHvm,YC,18,85.546034,12.0,8.0,6.0,23.0,56,0.00063,134000.250946,0.987528,0.986897,False
CWHVH_DR_HW,CWHvh,DR_HW,18,84.003937,26.777779,26.0,16.0,37.0,57,0.000619,134084.254883,0.988147,0.987528,False
MHMM_HM_BA,MHmm,HM_BA,9,79.428,13.444445,12.0,7.0,22.0,58,0.000585,134163.682883,0.988732,0.988147,False
CWHVM_DR_SS,CWHvm,DR_SS,26,77.404088,26.346153,25.0,18.0,38.0,59,0.00057,134241.08697,0.989303,0.988732,False
CWHVM_SS,CWHvm,SS,12,75.435077,30.75,32.5,20.0,37.0,60,0.000556,134316.522048,0.989859,0.989303,False
